pair_id,p_value
21013,True
15511,True
6067,True
19538,True
15985,True
17289,True
17345,True
1295,True
21690,True
9559,True
12720,True
9139,True
12183,True
20209,True
7071,True
14449,True
15628,True
15666,True
9635,True
3356,True
15151,True
97,True
511,True
19616,True
17799,True
15801,True
729,True
20664,True
6664,True
12431,True
657,True
6857,True
21911,True
19786,True
19636,True
8917,True
4050,True
14664,True
3517,True
5969,True
7121,True
3769,True
21813,True
13683,True
20948,True
21311,True
2114,True
10991,True
1700,True
5422,True
3050,True
15000,True
649,True
4227,True
21320,True
5671,True
20122,True
10124,True
8741,True
4852,True
20451,True
11445,True
17724,True
21449,True
8010,True
17103,True
17835,True
19932,True
15378,True
629,True
5672,True
3019,True
11129,True
15653,True
11724,True
13572,True
21464,True
4972,True
14379,True
14639,True
9597,True
13813,True
8770,True
3788,True
11585,True
12738,True
12099,True
9111,True
5410,True
5515,True
4310,True
13725,True
8112,True
4164,True
13127,True
22092,True
13400,True
1618,True
3039,True
8335,True
8636,True
5574,True
5580,True
6328,True
15962,True
11873,True
17101,True
8119,True
16314,True
3082,True
14753,True
4216,True
17424,True
15043,True
9179,True
6611,True
14406,True
20447,True
138,True
5724,True
16870,True
16089,True
14416,True
4181,True
21561,True
1301,True
15322,True
5447,True
4530,True
15875,True
17183,True
15863,True
17377,True
1991,True
9900,True
19749,True
10915,True
6049,True
16280,True
4251,True
6109,True
9578,True
8373,True
8400,True
20152,True
16040,True
22089,True
144,True
14394,True
21465,True
17052,True
14310,True
5723,True
281,True
12224,True
14336,True
8706,True
17423,True
21566,True
20309,True
8107,True
14286,True
17630,True
4335,True
929,True
20616,True
17629,True
8716,True
4608,True
21940,True
12542,True
16017,True
17139,True
16485,True
14911,True
11613,True
9939,True
5678,True
785,True
14867,True
1712,True
4946,True
6714,True
3123,True
16551,True
13030,True
19595,True
19763,True
7940,True
932,True
11436,True
4529,True
