query_id,accession_id
G9QLG7,PF00881.27;PF14512.9
G9QKG5,PF00578.24;PF08534.13
G9QM73,PF00381.22
G9QJ49,PF13302.10;PF00583.28
G9QK85,PF10676.12
G9QK38,PF00528.25
G9QIT3,PF00005.30;PF13304.9
G9QKF7,PF13561.9;PF00106.28
G9QPY0,PF01467.29
G9QH97,PF13412.9;PF13404.9;PF01037.24
G9QJ76,PF06612.14
G9QM47,PF04241.18
G9QM50,PF03167.22
G9QJB1,PF00923.22
G9QKS7,PF02082.23
G9QNQ5,PF01047.25
G9QQX2,PF03626.17
G9QJF6,PF13275.9
G9QLP4,PF01037.24
G9QL05,PF00005.30;PF13304.9
G9QMN2,PF13561.9;PF00106.28;PF08659.13
G9QMF8,PF03602.18
G9QJ95,PF01451.24
G9QH60,PF00881.27;PF14512.9
G9QIX9,PF00005.30
G9QHE3,PF02245.19
G9QGK4,PF01381.25;PF13560.9
G9QMV5,PF04456.15
G9QNL7,PF04073.18
G9QKA9,PF00005.30;PF13304.9
G9QPJ4,PF01316.24;PF02863.21
G9QJ59,PF14183.9
G9QN71,PF01176.22
G9QQM9,PF00849.25
G9QN99,PF00177.24
A0A1B9F7H6,PF02502.21
G9QQX3,PF00510.21
G9QHA0,PF02417.18
G9QJG4,PF02527.18
G9QKG8,PF01475.22
G9QNZ8,PF00313.25
G9QQE7,PF04284.16
G9QN60,PF00380.22
A0A1B9F6X8,PF00072.27;PF00486.31
G9QN57,PF10730.12
G9QKY7,PF00857.23
G9QQ05,PF13056.9
A0A1B9F3N6,PF00005.30
G9QPZ2,PF03449.18;PF01272.22
G9QN82,PF17136.7
G9QHC3,PF02502.21
G9QHY3,PF00403.29
G9QIA2,PF00717.26;PF01726.19
G9QN66,PF01196.22
G9QMB0,PF01327.24
G9QGJ2,PF14437.9;PF00383.26
G9QQB1,PF00085.23;PF13098.9
G9QJG9,PF06866.14
G9QHT8,PF01638.20
A0A1Z5HNH3,PF01783.26
G9QGX5,PF13561.9;PF00106.28;PF08659.13
G9QLT1,PF01648.23;PF17837.4
G9QLH4,PF00005.30
G9QLK3,PF02230.19
G9QM52,PF02597.23
G9QQB5,PF08359.14;PF00440.26;PF17932.4
G9QJK1,PF13443.9
D1A3P8,PF00072.27;PF00486.31
D1A5N4,PF00313.25
D1A5Q5,PF11716.11
D1A937,PF02583.20
D1AF50,PF06262.14
D1A6U4,PF03029.20
D1A6T8,PF02525.20
D1A450,PF17754.4;PF00440.26
D1A6I2,PF08281.15;PF04542.17;PF04545.19
A0A150L5U7,PF08761.14
D1A3F8,PF04149.15
D1A4L7,PF02580.19
D1AEH8,PF00293.31
D1A4W8,PF13561.9;PF00106.28
A0A150L4S7,PF17259.5
A0A150LER8,PF03061.25
D1A9J9,PF02537.18
D1ADI7,PF03070.19
A0A150M473,PF00430.21
A0A150LE68,PF13302.10;PF00583.28
A0A150L4B7,PF03358.18;PF02525.20
D1A2Z3,PF05175.17;PF13847.9
D1A1Q9,PF00440.26
D1A7X0,PF01220.22
D1AB18,PF00886.22
D1A4G1,PF14340.9
D1A4N0,PF02441.22
D1A8W8,
D1AER2,
A0A1B9F2U8,
A0A150KW26,
D1AE60,
D1AB75,
