meso_pid,thermo_pid,functional,score
A0A1G9XBZ9,A0A3D9VA07,True,1.0
A0A839RYA5,A0A3D9V4P8,False,0.5
A0A1E5PT78,A0A3D9UZD7,True,1.0
A0A075UIE1,A0A3D9V2M2,True,1.0
A0A7X6LYY5,A0A3D9VCQ6,True,1.0
A0A4Y3KJI1,A0A3D9V1G5,True,1.0
A0A7M2SZC7,A0A3D9VE91,False,0.5
A0A543VHX9,A0A3D9VAB5,True,1.0
A0A7W9LCA3,A0A3D9V180,True,1.0
A0A4Y3NKP4,A0A3D9V928,True,1.0
A0A1H4XMT7,A0A3D9UZI0,True,1.0
A0A316F749,A0A3D9V9B9,True,1.0
A0A3N0C2V3,A0A3D9V0L2,True,1.0
A0A7Y4KVG5,A0A3D9VL91,True,1.0
A0A7Y9S2G1,A0A3D9VI62,False,0.0
A0A1I0YEJ5,A0A3D9V1F0,True,1.0
A0A5J6J4E6,A0A3D9V8R9,True,1.0
A0A4R7W2B4,A0A3D9VBW1,False,0.0
A0A7I7L7Y1,A0A7I9XWI4,True,1.0
F2A8N7,A0A2S5JDX3,True,1.0
A0A7W6BSW4,A0A2S5JIJ2,True,1.0
A0A502G4Z5,A0A2S5JLW9,True,1.0
A0A1X6ZJ60,A0A2S5JFW4,True,1.0
A0A1G7IJ33,A0A2S5JE10,True,1.0
V4R9N7,A0A2S5JEG0,True,1.0
A0A7W7F022,A0A2S5JJ65,True,1.0
A0A546ZEJ2,A0A2S5JFU1,True,1.0
A0A1W6D176,A0A2S5JKG6,True,1.0
A0A1H8LH71,A0A2S5JEX4,True,1.0
A0A1L6J7R0,A0A2S5JMS9,True,1.0
A0A2T5AZI4,A0A2S5JGT1,True,1.0
Q0C5Q1,A0A2S5JDS1,True,1.0
A0A7V8RCB1,A0A2S5JLV3,True,1.0
A0A1Y2JQX0,A0A2S5JLW7,False,0.0
A0A975ZQK3,A0A2S5JII5,True,1.0
A0A1M6CR89,A0A2S5JN08,True,1.0
A0A839UC74,A0A2S5JF06,False,0.5
A0A841P4M9,A0A2S5JMC6,True,1.0
A0A1A7BDV4,A0A2S5JDH1,True,1.0
F7ZHN5,A0A2S5JE68,True,1.0
A0A387FVH1,A0A2S5JID5,True,1.0
A0A1I7C316,A0A2S5JJ44,True,1.0
A0A1H5V6N6,A0A2S5JKD7,True,1.0
A0A0L0IWJ7,A0A2S5JGU8,False,0.3333333333333333
A0A087M5E5,A0A2S5JLH2,True,1.0
A0A1J6HSP1,A0A2S5JFY2,True,1.0
A0A840B536,A0A2S5JMD1,True,1.0
A0A840YX34,A0A2S5JMM6,True,1.0
A0A1G7IEY7,A0A2S5JMI4,True,1.0
A0A2T6KQE8,A0A2S5JFN0,True,1.0
A0A2Y9B319,A0A2S5JEL7,True,1.0
A0A1H7YBG8,A0A2S5JHI4,True,1.0
A0A679J0E6,A0A2S5JHH6,True,0.6666666666666666
A0A1M5IIR6,A0A2S5JHV1,True,1.0
A0A1N6E9V4,A0A2S5JGG9,True,1.0
A0A1G7J226,A0A2S5JMH3,True,1.0
A0A1X3FL79,A0A2S5JL71,True,1.0
A0A546Y4R5,A0A2S5JEU5,True,0.6666666666666666
A0A1M7H2W7,A0A2S5JJR6,True,1.0
A0A7W9ZID5,A0A2S5JII1,True,1.0
A0A521FH84,A0A2S5JJG8,True,1.0
A0A1J6HID4,A0A2S5JGH3,True,1.0
Q92RI3,A0A2S5JJV0,True,1.0
A0A1M6AIP2,A0A2S5JFH7,True,1.0
A0A2S7IV49,A0A2S5JGP7,True,1.0
A0A4R1NW27,A0A2S5JK12,True,1.0
A0A7C5LS27,A0A2S5JD78,True,1.0
Q9A878,A0A2S5JDH7,True,1.0
A0A1M4VJS5,A0A2S5JI77,True,1.0
A0A2K8K9F6,A0A2S5JE97,True,1.0
A0A0L6CQI6,A0A2S5JMU8,True,1.0
A0A4R2NU85,A0A2S5JJ80,True,1.0
A0A1H5W8X4,A0A2S5JLG5,True,1.0
A0A1N6H8D8,A0A2S5JL69,True,1.0
F6ETC3,A0A2S5JEN4,False,0.0
A0A4R3UPP4,A0A554WMZ8,True,1.0
A0A1N6HAB7,A0A554WAX8,False,0.0
A0A2I8ERJ6,A0A554WCM4,True,1.0
A0A377FXH0,R1CGI0,False,0.5
A0A031GNT6,A0A554WLV2,True,1.0
